address,latitude,longitude
"Shibuya Station, Tokyo",35.6591162,139.7001168
"Akihabara Station, Tokyo",35.69855685,139.7731417779832
"Musashi-kosugi Station, Kanagawa",35.5757446,139.6596755
"Omotesando Station, Tokyo",35.6656738,139.7132293
"Nishiwaseda Station, Tokyo",35.7063657,139.7090229
"Higashi-Shinjuku Station, Tokyo",35.6978967,139.7075443
"Komazawa-daigaku Station, Tokyo",35.6331934,139.6611562
"Sangenjaya Station, Tokyo",35.6435527,139.6713037
"Ebisu Station, Tokyo",35.6469738,139.7086461
"Minami Shinjuku Station, Tokyo",35.683724,139.6988775
"Touyouchou Station, Tokyo",35.6695961,139.8174761
"Hiroo Station, Tokyo",35.6502773,139.7225196
"Ochiai Station, Tokyo",35.7106637,139.6859133
"Akebonobashi Station, Tokyo",35.6924146,139.7228634
"Ebaramachi Station, Tokyo",35.6038557,139.7077399
"Shinsen Station, Tokyo",35.6572159,139.6934884
"Youga Station, Tokyo",35.6075379,139.6688278
"Daikanyama Station, Tokyo",35.648157,139.703293
"Yoyogi Station, Tokyo",35.6839463,139.701656
"Kayabacho Station, Tokyo",35.6809966,139.7779901
"Daitabashi Station, Tokyo",35.6709596,139.6587527
"Keikyu Kamata Station, Tokyo",35.559479,139.7230356
"Edogawabashi Station, Tokyo",35.7095155,139.7335636
"Fudoumae Station, Tokyo",35.6253418,139.713046
"Sangubashi Station, Tokyo",35.6801457,139.6938391
"Sasazuka Station, Tokyo",35.6736801,139.6672321
"Nishikoyama Station, Tokyo",35.61547,139.6987365
"Ikebukuro Station, Tokyo",35.7298536,139.7130969
"Takaido Station, Tokyo",35.683248,139.6149498
"Nagahara Station, Tokyo",35.6022652,139.6979521
"Kiba Station, Tokyo",35.6698172,139.8057798
"Gaien Mae Station, Tokyo",35.6705246,139.7176478
"Sakurashinmachi Station, Tokyo",35.6317241,139.6453688
"Gokokuji Station, Tokyo",35.7190787,139.7274629
"Meguro Station, Tokyo",35.6327942,139.7160514
"Kamiyacho Station, Tokyo",35.6624802,139.7447379
"Shinjuku Gyoen Mae Station, Tokyo",35.6885735,139.7107396
"Goutokuji Station, Tokyo",35.6535438,139.6468966
"Nakameguro Station, Tokyo",35.6441395,139.6988317
"Nakano Station, Tokyo",35.7049946,139.6661572
"Kugahara Station, Tokyo",35.5795927,139.6856542
"Nakai Station, Tokyo",35.714067,139.6863482
"Meiji Jingumae Station, Tokyo",35.6689704,139.7043604
"Nishi-shinjuku Station, Tokyo",35.6944269,139.6927654
"Ogikubo Station, Tokyo",35.7042661,139.6200273
"Mejiro Station, Tokyo",35.7217272,139.7065622
"Takadanobaba Station, Tokyo",35.7126401,139.7038744
"Nakanosakaue Station, Tokyo",35.6971173,139.6817498
"Mukaihara Station, Tokyo",35.7433734,139.6795267
"Unoki Station, Tokyo",35.5754603,139.6805741
"Zoushigaya Station, Tokyo",35.7202465,139.7147782
"Sendagaya Station, Tokyo",35.6808205,139.7118835
"Okubo Station, Tokyo",35.702197,139.69521
"Shirokanedai Station, Tokyo",35.6381027,139.7265652
"Suitengumae Station, Tokyo",35.6840844,139.7841615
"Magome Station, Tokyo",35.5967788,139.7119274
"Takanawadai Station, Tokyo",35.6321435,139.7303719
"Monzennakachou Station, Tokyo",35.6722878,139.7950674
"Takaracho Station, Tokyo",35.6757977,139.7718968
"Myōgadani Station, Tokyo",35.7171896,139.7369396
"Fujimigaoka Station, Tokyo",35.684671,139.6076113
"Futako Shinchi Station, Kanagawa",35.6071968,139.6224456
"Meidaimae Station, Tokyo",35.6684337,139.6504275
"Nagatacho Station, Tokyo",35.6779456,139.7415775
"Mitakadai Station, Tokyo",35.6922344,139.588911
"Shinmaruko Station, Kanagawa",35.5806646,139.6620517
"Tsunashima Station, Kanagawa",35.5368504,139.6349061
"Eifukuchou Station, Tokyo",35.6762576,139.642645
"Yoyogi-koen Station, Tokyo",35.6690323,139.6901224
"Gotanno Station, Tokyo",35.7659593,139.8094973
"Midorigaoka Station, Tokyo",35.6061469,139.6785194
"Miyamaedaira Station, Kanagawa",35.5844911,139.5821605
"Miyazakidai Station, Kanagawa",35.5870526,139.5911245
"Jiyugaoka Station, Tokyo",35.6083522,139.6670367
"Shinnihonbashi Station, Tokyo",35.6890005,139.7741939
"Kichijouji Station, Tokyo",35.7031413,139.5803077
"Sakurajousui Station, Tokyo",35.6675627,139.6320107
"Toritsu-daigaku Station, Tokyo",35.6175433,139.676184
"Higashimatsubara Station, Tokyo",35.6626431,139.6558575
"Yaguchinowatashi Station, Tokyo",35.5625766,139.7002588
"Shimotakaido Station, Tokyo",35.667471,139.6416428
"Jujo Station, Tokyo",35.7638484,139.7268749
"Yoyogi-hachiman Station, Tokyo",35.6695195,139.68856324605264
"Osaki Station, Tokyo",35.6196773,139.7279909114376
"Kotakemukaihara Station, Tokyo",35.7433734,139.6795267
"Okurayama Station, Kanagawa",35.52186,139.6298585
"Futako-Tamagawa Station, Tokyo",35.6121776,139.6290583
"Kamimachi Station, Tokyo",35.6432455,139.6468285
"Yoyogiuehara Station, Tokyo",35.6682898,139.6792164
"Saginuma Station, Kanagawa",35.5794438,139.572855
"Gakushuinshita Station, Tokyo",35.7163541,139.7125211
"Musashi-Nitta Station, Tokyo",35.5681471,139.6926265
"Tamagawa Station, Tokyo",35.5869184,139.6693959
"Komagome Station, Tokyo",35.7365848,139.7472412
"Ōokayama Station, Tokyo",35.6074155,139.6857012
"Chidorichou Station, Tokyo",35.5729144,139.6915805
"Yoyogi-uehara Station, Tokyo",35.66865,139.679251
"Hamadayama Station, Tokyo",35.6819421,139.6271099
"Kaminoge Station, Tokyo",35.6118685,139.6382487
"Gotanda Station, Tokyo",35.6264901,139.7243449
"Hiyoshi Station, Kanagawa",35.5533964,139.6472372
"Shinozaki Station, Tokyo",35.7060788,139.9038381
"Nakanobu Station, Tokyo",35.605254,139.7136531
"Kitasenzoku Station, Tokyo",35.6064235,139.6929306
"Yagawa Station, Tokyo",35.6850443,139.4318114
"Hatanodai Station, Tokyo",35.6051865,139.7033846
"Denenchoufu Station, Tokyo",35.5968896,139.6673676
"Ishikawadai Station, Tokyo",35.5971322,139.6854947
"Oyamadai Station, Tokyo",35.6075687,139.6537866
"Kajigaya Station, Kanagawa",35.5936505,139.6054789
"Ebara Nakanobu Station, Tokyo",35.6099457,139.7120054
"Setagaya Station, Tokyo",35.6435069,139.6508094
"Tabata Station, Tokyo",35.7382487,139.7602545
"Nishi Eifuku Station, Tokyo",35.678750699999995,139.63549018944315
"Toranomon Hills Station, Tokyo",35.6674688,139.7477648
"Hanzomon Station, Tokyo",35.6852213,139.7415832
"Heiwajima Station, Tokyo",35.5771128,139.735154
"Wakabayashi Station, Tokyo",35.6459516,139.6598567
"Shimoshinmei Station, Tokyo",35.6087809,139.7262498
"Inagekaigan Station, Chiba",35.6292639,140.0727962
"Musashiyamato Station, Tokyo",35.7561818,139.4441464
"Todoroki Station, Tokyo",35.6091032,139.647398
"Kiyosumi Shirakawa Station, Tokyo",35.6820673,139.7979622
"Nishimagome Station, Tokyo",35.5874093,139.7062217
"Higashi Nagasaki Station, Tokyo",35.7302608,139.6828643
"Tennozu Isle Station, Tokyo",35.6227359,139.7507947
"Kawasakidaishi Station, Kanagawa",35.5357943,139.7260897
"Kuhonbutsu Station, Tokyo",35.6054056,139.6612181
"Isoyama Station, Mie",34.8125475,136.5687679
"Sengoku Station, Tokyo",35.7277122,139.7449946
"Ijiri Station, Fukuoka",33.5520634,130.4433399
"Shimomaruko Station, Tokyo",35.5713856,139.6855952
"Takatsuki Station, Osaka",34.8517211,135.6178493
"Inokashirakouen Station, Tokyo",35.6975016,139.5827278
"Yashio Station, Saitama",35.8078279,139.8448654
"Tonoki Station, Osaka",34.5228107,135.451401
"Harajuku Station, Tokyo",35.6709419,139.7023936
"Kikuna Station, Kanagawa",35.5103853,139.6313313
"Numabe Station, Tokyo",35.5827683,139.6730652
"Ekoda Station, Tokyo",35.7375689,139.6727894
"Yotsuya Station, Tokyo",35.6860587,139.730612
"Uchisaiwaichou Station, Tokyo",35.6694556,139.7553799
"Kawasaki Station, Kanagawa",35.5315726,139.6972186
"Tama Plaza Station, Kanagawa",35.5783869,139.5588266
"Takatsu Station, Kanagawa",35.603179,139.6169636
"Mikawa-Yatsuhashi Station, Aichi",35.0109809,137.0773479
"Kyouteijoumae Station, Tokyo",35.6562077,139.4995827
"Kodaira Station, Tokyo",35.7370404,139.4882532
"Inagi Station, Tokyo",35.6362354,139.500445
"Senzoku Station, Tokyo",35.6101514,139.6941664
"Senzoku Ike Station, Tokyo",35.5997965,139.6913023
"Sakuradai Station, Tokyo",35.7381403,139.6578608
"Ginza Station, Tokyo",35.6730557,139.7620583
"Nihonbashi Station, Tokyo",35.680099,139.777543
"Mizonokuchi Station, Kanagawa",35.5995835,139.6114242
"Miyanosaka Station, Tokyo",35.647817700000004,139.64493265846232
"Araijuku Station, Saitama",35.8426233,139.7386437
"Okusawa Station, Tokyo",35.6040262,139.6727375
"Ichikawamama Station, Chiba",35.7315068,139.91145504374268
"Mitsukoshi Mae Station, Tokyo",35.687054,139.7736283
"Kishibojinmae Station, Tokyo",35.7202125,139.7148568
"Higashiurawa Station, Saitama",35.8640813,139.7045073
"Musashimizonokuchi Station, Kanagawa",35.5991349,139.6110886
"Machikata Station, Aichi",35.1896955,136.7272072
"Iwaki Station, Nara",34.5113689,135.7108183
"Toranomon Station, Tokyo",35.6701871,139.750056
"Kyoto-kawaramachi Station, Kyoto",35.0037119,135.76876
"Higashiginza Station, Tokyo",35.6698189,139.7672583
"Kitaoji Station, Kyoto",35.0445726,135.7587094
"Higashi Kishiwada Station, Osaka",34.4494269,135.3859353
"Minamihinaga Station, Mie",34.9501922,136.6011219
"Shin Koyanose Station, Fukuoka",33.783582,130.7244692
"Saidaiji Station, Okayama",34.6619649,134.0373123
"Susukino Station, Hokkaido",43.0553612,141.3533762
"Fuki Station, Aichi",34.8286392,136.9170316
"Tomidahama Station, Mie",34.9972064,136.6503457
"Kanae Station, Nagano",35.5066136,137.827967
"Higashishinjou Station, Toyama",36.6987221,137.2533064
"Chajo Station, Gifu",35.402289,136.768886
"Kiisano Station, Wakayama",33.6797315,135.9703859
"Tsukayama Station, Niigata",37.3551519,138.7294996
"Shin Okachimachi Station, Tokyo",35.7070597,139.7818428
"Nakanoshinbashi Station, Tokyo",35.692021,139.6738042
"Oyama Station, Tokyo",35.7486238,139.7024348
"Minowa Station, Tokyo",35.7294937,139.7923274
"Kita Ikebukuro Station, Tokyo",35.7409856,139.7168198
"Hikifune Station, Tokyo",35.7183056,139.8167501
"Kagurazaka Station, Tokyo",35.7039298,139.7341347
"Hatsudai Station, Tokyo",35.6815487,139.6867391
"Wakamatsu Kawada Station, Tokyo",35.6992849,139.7184084
"Toyosu Station, Tokyo",35.6540228,139.7959895
"Sugamoshinden Station, Tokyo",35.735513,139.7277426
